state,price,sqft
Montana,$76480,1054
California,$91932,3330
Illinois,$65336,1561
Illinois,$77480,3326
Florida,$67538,1526
Florida,$97486,864
Montana,$79483,1791
Montana,$52900,940
Montana,$62218,3881
Florida,$21738,3350
Montana,$42458,1517
Florida,$54149,3805
Montana,$29142,3289
Illinois,$69530,1212
Illinois,$51802,1245
Illinois,$88258,2420
California,$73322,3452
California,$67152,1038
California,$52308,2316
Illinois,$80944,854
Illinois,$38491,1333
Florida,$13141,2566
Florida,$2905,2634
Montana,$87871,2019
Montana,$46890,3592
Illinois,$58553,1233
Montana,$19337,918
California,$16516,2412
Montana,$86733,1185
California,$96554,3736
California,$95159,2329
California,$46184,2201
Montana,$89344,1801
Florida,$34838,3680
Montana,$77346,3333
Montana,$67514,2802
Illinois,$63865,2389
Florida,$25957,1230
Montana,$21791,1168
Illinois,$17983,1008
Illinois,$37884,2085
California,$60612,1549
Montana,$60230,3027
Illinois,$77023,3898
Florida,$72530,1271
Montana,$91465,1599
Florida,$45946,858
Florida,$55235,3251
Montana,$44026,2148
California,$93962,996
Montana,$31010,2700
Florida,$30754,3877
California,$83649,1235
Montana,$26752,1978
Florida,$11800,1398
Florida,$6138,2436
California,$8595,1036
Illinois,$15380,2425
Montana,$15947,1096
Illinois,$75465,3213
Montana,$18120,2896
Illinois,$35530,3112
Florida,$73699,1664
Illinois,$4131,3451
Florida,$67287,3416
Illinois,$18177,2174
Montana,$34815,1477
Montana,$4338,2741
Florida,$8857,805
Florida,$97212,1637
Montana,$16974,2141
Illinois,$6750,1972
Illinois,$13409,2985
California,$17022,805
Illinois,$42521,2980
Florida,$72483,3668
Florida,$11160,3253
Illinois,$3674,3199
Illinois,$34143,3259
Florida,$51157,2648
California,$95180,2056
Florida,$78101,3199
Illinois,$82884,2930
Montana,$91778,3746
California,$24690,790
Florida,$42795,1595
Montana,$75266,905
Montana,$46657,1886
California,$24922,1214
Illinois,$42847,1281
Montana,$72516,1327
Illinois,$74962,1243
Florida,$23581,2246
Illinois,$76894,2068
California,$15213,2614
Illinois,$53613,1077
Florida,$42579,2464
California,$24832,1039
Illinois,$86981,1890
Florida,$5367,3177
Illinois,$73639,2153
Illinois,$25347,3035
Illinois,$97822,1338
California,$15411,970
Illinois,$23311,2684
Florida,$42619,3269
California,$14843,3296
Illinois,$49465,1422
California,$65216,2677
Florida,$79335,2985
Montana,$15752,1739
Illinois,$88806,2906
Montana,$25866,1747
Montana,$79653,3150
Montana,$26416,1352
Illinois,$58883,3653
Florida,$38575,1228
Montana,$68512,3919
California,$67325,1286
Illinois,$4512,3723
Illinois,$80939,805
Florida,$72601,2919
Montana,$5712,2390
Illinois,$35082,2160
Illinois,$72909,2610
Montana,$96687,3150
Montana,$90442,2877
Montana,$56572,1415
California,$25472,3643
Illinois,$86912,2542
Montana,$71963,2919
Illinois,$17275,1228
Montana,$73850,861
Florida,$73822,2887
Illinois,$91175,2603
Montana,$86523,2069
Montana,$68689,2961
Florida,$24284,1780
Illinois,$23951,3220
Florida,$68589,2638
Illinois,$24796,3668
Montana,$30728,2456
Montana,$95543,2875
Florida,$72707,3307
Illinois,$30121,3509
California,$69130,3352
Florida,$65745,1083
Florida,$29150,3871
Florida,$16904,1789
Illinois,$66664,794
Florida,$40686,2195
California,$48431,2332
Florida,$82117,2453
Florida,$49224,1552
California,$63639,2720
Florida,$90949,2993
Illinois,$42648,3005
Illinois,$83681,1599
Florida,$33906,2075
California,$48381,2155
California,$56384,3592
California,$44481,1635
Montana,$4533,3485
California,$32146,3019
Montana,$24044,1935
Montana,$95698,2048
Florida,$9535,2700
Montana,$26283,1712
California,$6217,2529
Montana,$28829,1754
Montana,$99013,3728
Florida,$97816,3669
Florida,$33945,1621
Florida,$87230,3683
Florida,$96076,3320
California,$17123,1835
California,$3099,3275
Illinois,$19903,2021
Florida,$17918,861
Florida,$59666,2467
Florida,$71185,1271
California,$41949,789
California,$20830,3438
Florida,$23888,2289
California,$25543,3852
Illinois,$74706,1789
Illinois,$51799,3207
Florida,$6081,2862
California,$87102,2240
California,$80711,1352
Florida,$71502,1179
California,$39129,3302
Montana,$11005,1403
Florida,$26327,1626
Montana,$56994,3967
Montana,$75298,3658
Montana,$69573,1828
Florida,$54826,1854
Illinois,$31901,2612
California,$25185,2947
Montana,$15192,2445
Montana,$13351,2528
Illinois,$96832,1751
Florida,$53807,2978
Illinois,$56661,1403
Florida,$69364,984
Montana,$7912,2764
Florida,$64597,2073
Montana,$13089,3699
Illinois,$39656,3547
Montana,$1972,3440
Montana,$43716,2384
California,$30320,1181
Florida,$74598,1959
Illinois,$68097,2894
Montana,$51998,1371
Montana,$21945,947
California,$97544,3793
Florida,$79820,3515
Montana,$93424,2805
California,$45696,1604
California,$55933,3475
Florida,$53190,2079
California,$44238,959
Florida,$1448,3187
Florida,$63941,1627
Illinois,$45667,3551
California,$70080,3295
Illinois,$14474,3232
California,$48253,2210
Montana,$3375,1098
Illinois,$27342,2907
Montana,$7791,3413
Florida,$29012,2589
Florida,$79807,1884
Montana,$28238,2598
Illinois,$24818,3770
Florida,$90354,981
Illinois,$72113,1835
Montana,$84101,995
California,$40746,1034
California,$57764,2889
Florida,$42052,3095
Illinois,$96170,2100
California,$21032,923
Illinois,$88078,1720
Illinois,$41740,3711
Montana,$82920,3977
Illinois,$63587,2291
Montana,$48724,1909
Montana,$18968,2188
Florida,$6601,3279
Illinois,$82359,3511
Illinois,$95710,1098
California,$77838,3909
Montana,$58282,2209
Florida,$70816,2724
Florida,$31156,1129
Montana,$47211,3311
California,$68176,1547
Montana,$2569,1276
Illinois,$4472,1954
California,$26344,2200
Montana,$70773,3433
California,$67976,1546
California,$42274,2109
Florida,$33221,2823
Montana,$55230,1199
Florida,$80000,3097
California,$23516,3547
Illinois,$85785,1597
Montana,$10511,2109
Florida,$57749,3326
Illinois,$56947,2573
California,$93261,1759
Florida,$38536,2463
Illinois,$54150,3126
Florida,$94262,3284
Florida,$43275,3085
California,$71881,2349
Florida,$96650,1847
Montana,$51418,2280
Illinois,$28837,2643
California,$59479,1221
California,$75288,3314
Illinois,$76745,3380
Florida,$52668,3612
Florida,$65161,2769
Montana,$1209,2303
California,$15436,3481
Illinois,$82320,2219
California,$52869,1362
Florida,$17959,967
Montana,$72013,3039
Florida,$75779,2361
Florida,$28763,1747
Florida,$60238,3962
California,$95930,2934
Florida,$54368,3544
Montana,$93208,1942
California,$77290,1832
Illinois,$13305,2101
Florida,$89528,3569
California,$81049,3943
Florida,$63190,1890
Illinois,$40982,3642
Montana,$74692,3148
Montana,$44094,3276
Montana,$7308,2890
Illinois,$6260,3475
Florida,$84056,3966
California,$59739,1424
Illinois,$95672,2124
Illinois,$74317,1735
Illinois,$95332,2762
Illinois,$78321,2401
Montana,$17337,2469
Florida,$59805,3569
Florida,$88127,3137
Illinois,$51792,2517
California,$33796,2139
Florida,$46990,2425
California,$88766,1431
Montana,$64484,1174
Illinois,$76866,857
California,$46269,3167
Florida,$79445,3876
Illinois,$61845,1113
California,$55932,1756
Florida,$68069,3428
Montana,$19700,3808
Florida,$16987,3022
Florida,$8410,874
Illinois,$50057,1117
Illinois,$60223,1103
Montana,$23986,3876
Illinois,$54913,3936
Illinois,$7424,2673
California,$68609,1246
California,$15277,3556
Illinois,$82718,3402
Florida,$61100,3731
California,$10841,1673
Illinois,$36887,3742
California,$54132,930
Florida,$68478,2536
Florida,$40777,3539
Florida,$16966,1584
Florida,$60578,2639
Montana,$50273,2181
Florida,$7271,2280
Illinois,$11988,3162
Illinois,$23585,837
California,$27855,2607
Florida,$51936,3273
California,$61476,3641
California,$2024,1405
Illinois,$53868,916
Montana,$23652,1817
Illinois,$36409,1073
Illinois,$28888,2753
Florida,$73616,2693
Illinois,$81812,1564
Illinois,$21624,2654
Illinois,$57406,1368
Florida,$76935,2899
Illinois,$82024,1689
Illinois,$25357,1080
Florida,$73972,1915
California,$82564,1210
Illinois,$93153,2961
California,$17110,2792
Montana,$90220,1151
Florida,$57341,3335
California,$45669,1287
Florida,$14032,757
Montana,$82817,2502
Montana,$3032,3593
Illinois,$52176,3862
Montana,$7417,2779
Florida,$93185,2280
California,$93770,1145
Montana,$22146,2867
Montana,$26579,2832
Florida,$80318,2797
Illinois,$7860,3724
Illinois,$55500,1278
Montana,$13965,2743
Florida,$24698,3998
Illinois,$67271,3166
Montana,$84039,1164
Florida,$46954,1140
Illinois,$12999,2983
Montana,$11537,1687
Florida,$30934,3407
Illinois,$43216,1944
Illinois,$59196,3455
Florida,$6027,3662
California,$83598,3144
California,$66935,1687
California,$20909,2064
California,$65086,1273
Florida,$49044,3368
Illinois,$99717,1268
Illinois,$24088,3816
Florida,$2652,1922
Montana,$23842,3554
California,$97583,2594
Florida,$77606,916
California,$20583,2564
California,$22907,1251
California,$26173,3804
California,$45588,2016
Florida,$67046,1322
California,$21202,2187
Illinois,$56609,1525
California,$35071,1964
Florida,$5249,3441
California,$87716,3720
California,$26157,3492
California,$14854,2310
California,$7966,2117
Illinois,$11381,3222
Florida,$37613,3223
Florida,$89169,2706
Florida,$24165,2744
Illinois,$13208,1345
Montana,$93728,2457
Montana,$82664,1326
Montana,$3075,846
Montana,$29672,955
Montana,$50925,2256
California,$14482,2865
California,$69375,2844
Florida,$27262,2728
Florida,$69678,2002
Illinois,$14872,2444
California,$66265,3625
California,$41485,2116
Illinois,$84737,3026
Florida,$98779,1559
Montana,$64245,1050
Illinois,$92275,3628
Montana,$84847,3545
Florida,$9065,2850
Florida,$31575,2870
Florida,$34487,3761
California,$46133,3903
Illinois,$2380,2095
California,$50006,3577
California,$69733,1897
California,$60013,1237
California,$30113,3437
Montana,$35690,3607
Montana,$88691,3072
Florida,$12460,870
California,$30653,3649
Illinois,$42995,3877
California,$39762,934
Montana,$5328,993
Montana,$17859,2364
California,$73526,1523
California,$23774,1336
Illinois,$94906,1004
Illinois,$45677,888
Illinois,$40377,2808
California,$39977,804
Illinois,$72497,3188
Florida,$24170,794
Illinois,$42296,1921
Florida,$49742,792
Illinois,$58134,3257
Florida,$45500,1112
Illinois,$25080,2313
Florida,$28628,2861
Montana,$52119,1965
Illinois,$77560,2322
Montana,$7601,1998
Illinois,$19615,3255
California,$19715,3795
Florida,$39649,2696
Illinois,$25460,1866
Illinois,$64804,3976
Montana,$5322,814
Illinois,$33403,3385
Illinois,$47866,1047
California,$10605,2471
Illinois,$31094,3624
California,$54754,2942
Florida,$22068,1155
Montana,$37006,1196
Illinois,$7035,3469
Florida,$89831,3139
Montana,$92424,2636
Illinois,$62011,1716
Montana,$89316,1651
Illinois,$63688,2119
Montana,$42184,1905
Florida,$98204,2761
Florida,$12920,3642
Florida,$33604,2047
Florida,$71402,2484
Illinois,$63189,2508
Illinois,$17657,2804
Illinois,$28681,3802
Florida,$62347,1086
California,$53122,2377
Illinois,$42024,2813
Illinois,$72024,2929
California,$9714,3149
Illinois,$22919,3497
California,$13511,2778
Montana,$52431,1129
Illinois,$75496,1204
Florida,$73508,2078
California,$88262,1455
California,$94933,3280
Florida,$3844,3135
Montana,$14401,2001
California,$97949,2731
California,$28702,1913
Illinois,$60114,846
Illinois,$55785,3570
Montana,$85742,1576
Illinois,$75270,1794
Montana,$25204,3109
Montana,$95701,2679
California,$56869,2193
Montana,$37009,3288
Illinois,$80229,919
California,$11320,1386
Florida,$24058,1329
Illinois,$23057,2284
Illinois,$47995,2196
California,$89670,2945
California,$98126,2501
California,$77915,1729
Florida,$79770,933
Montana,$70438,3826
California,$42074,2651
Illinois,$68433,3526
Illinois,$29603,2867
Montana,$81175,3217
Montana,$25976,2620
California,$47558,2982
Florida,$67267,2708
Illinois,$54053,2493
Illinois,$46069,3061
California,$61440,2413
Illinois,$99671,3582
Florida,$93026,3966
California,$84853,1824
California,$7778,3685
Florida,$52152,1252
Florida,$6803,1637
Montana,$21217,1213
California,$60324,3707
Illinois,$15465,3178
Illinois,$40885,3510
Illinois,$58749,3492
Florida,$68991,2858
Florida,$69734,926
California,$16398,2176
Florida,$49262,879
Florida,$30436,841
Illinois,$51340,3882
Montana,$52712,1342
Florida,$77101,2961
Montana,$71148,2357
Florida,$45264,792
California,$35879,2066
Florida,$21618,3567
Montana,$85746,989
Florida,$61659,1195
California,$31585,3167
Florida,$8586,3658
Montana,$16517,2206
Florida,$32782,871
Illinois,$84040,884
Montana,$36745,3592
California,$21619,3598
Illinois,$27718,3844
Illinois,$93121,3098
Montana,$88075,1336
Florida,$54422,3837
Florida,$18482,1357
Illinois,$67585,3492
Montana,$49277,3884
Florida,$78779,1894
Montana,$77032,2427
Florida,$32346,1941
California,$38607,2614
California,$95214,1111
Illinois,$61232,3234
Montana,$26211,1344
Montana,$19547,1955
Montana,$5687,1362
Florida,$95100,2967
Florida,$14917,3039
Montana,$53741,2960
Illinois,$67172,2080
Illinois,$22260,2625
Montana,$73135,3015
Montana,$76269,2655
Montana,$55227,1476
Illinois,$94852,1248
Illinois,$42738,3153
Florida,$93106,3470
Illinois,$21280,3919
Illinois,$15607,2970
Florida,$12042,3424
Illinois,$7041,1296
California,$3452,2438
Montana,$10803,1647
Montana,$50003,1761
Montana,$93773,851
Florida,$69104,1020
California,$36878,3263
Montana,$86523,3288
Montana,$86485,3878
Florida,$75721,1599
Montana,$46705,1336
Montana,$21426,3669
Montana,$58224,3038
California,$69424,2926
Florida,$64418,2357
California,$15870,929
Montana,$35298,2327
Illinois,$3199,3566
Montana,$66649,2680
Florida,$51192,914
Montana,$9979,3155
Florida,$88172,2464
Florida,$11438,3989
California,$95031,3928
Illinois,$66240,2310
Illinois,$67272,3064
Montana,$55824,2810
Florida,$89722,1597
Montana,$48458,1443
Florida,$93201,3899
Florida,$21648,1063
Florida,$87675,2395
Montana,$7426,3945
California,$79798,2667
Florida,$5632,3444
Montana,$27408,3652
Montana,$87531,2340
Florida,$56608,2663
Illinois,$4972,2923
Montana,$10712,1970
Florida,$52835,3241
Florida,$65597,1410
Illinois,$28120,2874
Florida,$42099,2888
